Timestamp,Pressure,Temperature,FlowRate,LeakStatus
2025-08-30T10:29:16,7.57,27.68,37.09,Leak
2025-08-30T10:29:17,2.08,28.9,38.22,NoLeak
2025-10-26T19:01:20,3.73,27.13,30.84,NoLeak
2025-10-26T19:01:21,2.41,20.93,39.36,NoLeak
2025-10-26T19:01:22,0.03,22.3,38.67,NoLeak
2025-10-26T19:01:23,5.24,28.33,39.62,NoLeak
2025-10-26T19:01:24,4.96,28.19,38.24,NoLeak
2025-10-26T19:01:25,3.88,23.98,38.79,NoLeak
2025-10-26T19:01:26,8.53,20.71,30.1,Leak
2025-10-26T19:01:27,2.66,23.69,36.69,NoLeak
2025-10-26T19:01:28,2.09,21.44,32.11,NoLeak
2025-10-26T19:01:29,7.48,29.21,36.09,Leak
2025-10-26T19:01:30,2.82,22.05,31.77,NoLeak
2025-10-26T19:01:31,6.27,23.34,33.78,NoLeak
2025-10-26T19:01:32,5.8,22.53,31.29,NoLeak
2025-10-26T19:01:33,1.71,23.92,35.74,NoLeak
2025-10-26T19:01:34,4.67,24.77,38.62,NoLeak
2025-10-26T19:01:35,3.49,28.97,39.73,NoLeak
2025-10-26T19:01:36,5.54,21.26,35.68,NoLeak
2025-10-26T19:01:37,3.48,25.43,39.46,NoLeak
2025-10-26T19:01:38,7.44,26.7,34.67,Leak
2025-10-26T19:01:39,8.12,22.13,32.77,Leak
2025-10-26T19:01:40,7.72,24.48,39.08,Leak
2025-10-26T19:01:41,1.27,22.6,36.01,NoLeak
2025-10-26T19:01:42,9.64,23.89,38.99,Leak
2025-10-26T19:01:43,9.3,25.17,36.25,Leak
2025-10-26T19:01:44,0.49,23.63,38.95,NoLeak
2025-10-26T19:01:45,6.7,22.36,38.92,NoLeak
2025-10-26T19:01:46,6.71,29.21,39.06,NoLeak
2025-10-26T19:01:47,9.66,29.1,34.72,Leak
2025-10-26T19:01:48,8.53,21.67,34.74,Leak
2025-10-26T19:01:49,6.83,23.33,38.72,NoLeak
2025-10-26T19:01:50,0.36,25.12,31.51,NoLeak
2025-10-26T19:01:51,8.04,27.15,37.16,Leak
2025-10-26T19:01:52,1.64,27.14,33.71,NoLeak
2025-10-26T19:01:53,2.65,24.84,38.18,NoLeak
2025-10-26T19:01:54,9.35,26.91,31.98,Leak
2025-10-26T19:01:55,0.56,21.12,31.39,NoLeak
2025-10-26T19:01:56,3.71,26.36,39.48,NoLeak
2025-10-26T19:01:57,2.18,24.54,35.01,NoLeak
2025-10-26T19:01:58,3.65,20.49,38.08,NoLeak
2025-10-26T19:01:59,4.71,23.79,37.26,NoLeak
2025-10-26T19:02:00,2.14,22.65,32.71,NoLeak
2025-10-26T19:02:01,4.32,22.53,34.97,NoLeak
2025-10-26T19:02:02,9,20.31,35.4,Leak
2025-10-26T19:02:03,7.17,26.79,32.04,Leak
2025-10-26T19:02:04,3.31,25.7,33.13,NoLeak
2025-10-26T19:02:05,5.36,28.24,31.99,NoLeak
2025-10-26T19:02:06,2.54,22.1,34.18,NoLeak
2025-10-26T19:02:07,4.87,25.96,30.59,NoLeak
2025-10-26T19:02:08,5.53,28.34,31.7,NoLeak
2025-10-26T19:02:09,3.37,21.01,31.03,NoLeak
2025-10-26T19:02:10,6.28,27.65,31.56,NoLeak
2025-10-26T19:02:11,9.47,22.65,39.16,Leak
2025-10-26T19:02:12,5.97,20.39,36.11,NoLeak
2025-10-26T19:02:13,8.64,24.51,33.36,Leak
2025-10-26T19:02:14,0.85,21.55,32.52,NoLeak
2025-10-26T19:11:18,3.02,24.28,30.06,NoLeak
2025-10-26T19:11:19,1.31,20.65,37.39,NoLeak
2025-10-26T19:11:20,1.43,22,34.58,NoLeak
2025-10-26T19:11:21,4.21,26.1,39.55,NoLeak
2025-10-26T19:11:22,3.12,20.43,36.18,NoLeak
2025-10-26T19:11:23,6.31,28.86,39.76,NoLeak
2025-10-26T19:11:24,7.53,21.05,37.59,Leak
2025-10-26T19:11:25,2,27.79,37.42,NoLeak
2025-10-26T19:11:26,5.85,29.29,35.99,NoLeak
2025-10-26T19:11:27,6.56,29.94,32.87,NoLeak
2025-10-26T19:11:28,9.13,22.37,33.22,Leak
2025-10-26T19:11:29,4.13,25.24,36.51,NoLeak
2025-10-26T19:11:30,8.1,20.6,36.21,Leak
